"Scenario";"TotalCost";"TotalCostPerVeh";"CostPerVehKM";"CostPerSeatKM";"CostPerPassKM";"PricePerPassKM";"overhead";"salaries";"deprecation";"maintenance";"cleaning";"tires";"fuel";"other_var";"interest";"insurance";"tax";"parking";"other_fix";"acquisition"
"E-S12";1668713.9063842;834.356953192098;0.86507714005102;0.86507714005102;1.08134642506377;1.20929423387532;0.0311045699352558;0.907216623111629;0;0.0342881944444444;0.00974013740272385;0.0173611111111111;0.0329861111111111;0;0.00105846764538477;0.000854225097722526;0;0.0114975412672307;0.000131419245803466;0.035108024691358
"E-S13-RS";1415456.98350625;943.637989004168;0.978381794084811;0.244595448521203;0.506147833567531;0.566036602549086;0.0128731019174421;0.375465472592061;0;0.0425720808132538;0.00403110480987663;0.00718516131869262;0.0182024086740213;0;0.00117940044137969;0.000707068238931339;0;0.00475843327334658;5.43898645331799e-05;0.0391192116239931
"E-S13-Taxi";1415456.98350625;943.637989004168;0.978381794084811;0.244595448521203;0.859170538041817;0.960829900101852;0.0218516985891637;0.637341208850607;0;0.0722648110929883;0.00684267768962517;0.0121965925895339;0.0308980345601525;0;0.00200199634293555;0.00120022680921712;0;0.00807729561318332;9.2325139170548e-05;0.0664036707652401
"E-S14-RS";1111025.2562388;1111.0252562388;1.15193209275051;0.143991511593813;0.595930889850594;0.666443030818738;0.0128731019174421;0.375465472592061;0;0.0851441616265075;0.00403110480987663;0.00718516131869262;0.0295789140952846;0;0.00222401226088742;0.000848481886717607;0;0.00475843327334658;5.43898645331799e-05;0.0737676562052442
"E-S15";584136.476437633;1168.27295287527;1.21128759220588;0.0605643796102942;0.626637366239763;0.700782779838448;0.0128731019174421;0.375465472592061;0;0.0922395084287165;0.00403110480987663;0.00718516131869262;0.0455060216850533;0;0.00235880088275939;0.000989895534503875;0;0.00475843327334658;0.0029914425493249;0.0782384232479863
"E-S16";NA;2322.12715245;6.7473;0.112455;0.501657992565055;0.556089436277928;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"E-S17";NA;2136.08031525;6.3315;0.105525;0.8375;0.928371340206186;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"E-S18";NA;19178.9002;31.4;0.105723905723906;0.46574407807888;0.516278750996041;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"E-S19";NA;17424.2996;31.4;0.105723905723906;0.334569321911094;0.370871128088928;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AE-S01";15.2574700603035;15.2574700603035;0.348069962856917;0.348069962856917;0.348069962856917;0.389254534265687;0;0;0.0312;0.0395;0.00749505875890328;0.018;0.027;0;0.0211029940903312;0.0101495587360149;0;0.093688234486291;0.00249835291963443;0.0974357638657426
